date,temp,wind,rain
2013010915,-8.275,2.775,0
2013010916,-8.7,3.525,0
2013010917,-9.425,3.2,0
2013010918,-10.7,3.35,0
2013010919,-11.5,2.85,0
2013010902,-10.225,3.55,0
2013010920,-11.95,2.875,0
2013010921,-12.2,3.025,0
2013010922,-12.65,3.025,0
2013010923,-13.025,2.7,0
2013010903,-10.75,3.4,0
2013010904,-11.375,3.275,0
2013010905,-11.775,3.45,0
2013010906,-12.075,2.7,0
2013010907,-12.25,2.8,0
2013010908,-12.825,3.025,0
2013010909,-12.2,3.675,0
2013011000,-13.2,3.225,0
2013011001,-13.5,3.6,0
2013011010,-11.875,2.45,0
2013011011,-10.7,2.85,0
2013011012,-8.8,2.625,0
2013011013,-7.925,2.35,0
2013011014,-6.85,2.3,0
2013011015,-6.475,2.35,0
2013011016,-6.3,2.3,0
2013011017,-7.25,2.3,0
2013011018,-8.65,2.225,0
2013011019,-9.35,2.525,0
2013011002,-13.9,2.65,0
2013011020,-9.7,2.375,0
2013011021,-9.8,2.55,0
2013011022,-9.5,1.95,0
2013011023,-9.5,2.3,0
2013011003,-14.175,2.75,0
2013011004,-14.55,2.3,0
2013011005,-14.775,2.725,0
2013011006,-14.975,2.85,0
2013011007,-15.075,3.575,0
2013011008,-15.025,2.925,0
2013011009,-14.2,2.775,0
2013011100,-9.425,2.775,0
2013011101,-8.725,1.975,0
2013011110,-6,1.8,0
2013011111,-4.75,1.5,0
2013011112,-3.025,1.025,0
2013011113,-2.775,1.5,0
2013011114,-2.075,1.35,0
2013011115,-1.625,1.175,0
2013011116,-2,1.125,0
2013011117,-2.575,1.575,0
2013011118,-2.875,2.6,0
2013011119,-3.25,2.05,0
2013011102,-8.7,1.975,0
2013011120,-3.3,1.725,0
2013011121,-3.4,2.25,0
2013011122,-3.65,2.575,0
2013011123,-3.75,3.3,0
2013011103,-8.975,2.1,0
2013011104,-8.5,2.05,0
2013011105,-8.125,1.75,0
2013011106,-7.85,1.65,0
2013011107,-7.3,2.15,0
2013011108,-7.675,2,0
2013011109,-7.225,2.1,0
2013011200,-3.9,3.175,0
2013011201,-2.45,3.95,0
2013011210,-1.175,2.475,0
2013011211,-0.575,2.575,0
2013011212,0.2,2.725,0
2013011213,1,2.6,0
2013011214,1.65,3.2,0
2013011215,1.6,2.575,0
2013011216,1.15,1.8,0
2013011217,0.525,1.925,0
2013011218,-0.7,1.775,0
2013011219,-1.7,2.1,0
2013011202,-2.525,3.625,0
2013011220,-2.2,2.1,0
2013011221,-2.125,2.075,0
2013011222,-2.4,1.975,0
2013011223,-2.725,1.525,0
2013011203,-2.175,3.675,0
2013011204,-1.75,3.85,0
2013011205,-2.15,3.6,0
2013011206,-2.7,1.725,0.25
2013011207,-2.1,2.1,0
2013011208,-1.8,2.075,0
2013011209,-1.475,2.325,0
2013011300,-3.025,1.45,0
2013011301,-3.35,1.875,0
2013011310,-2.65,3.225,0
2013011311,-1.45,3,0
2013011312,-0.55,2.425,0
2013011313,0,2.65,0
2013011314,0.525,2.925,0
2013011315,0.975,2.475,0
2013011316,0.8,2.875,0
2013011317,0.5,3.85,0
2013011318,-0.3,3.425,0
2013011319,-0.7,2.8,0
2013011302,-3.6,2.025,0
2013011320,-1.05,3.625,0
2013011321,-1.775,3.325,0
2013011322,-1.975,3.05,0
